,0
0,"[1, 'June 2010', 82, 'U of H-Sugarland C696']"
1,"[2, 'June 2010', 48, 'U of H-Sugarland C696']"
2,"[3, 'June 2010', 47, 'HRM-3 Haden Road C603/A114 ']"
3,"[4, 'June 2010', 59, 'Hou.DeerPrk2 C35/235/1001/AFH139FP239']"
4,"[5, 'June 2010', 63, 'U of H-Sugarland C696']"
5,"[6, 'June 2010', 60, 'U of H-Sugarland C696']"
6,"[7, 'June 2010', 36, 'Channelview C15/AH115 ']"
7,"[8, 'June 2010', 39, 'Northwest Harris Co. C26/A110/X154']"
8,"[9, 'June 2010', 32, 'U of H-Sugarland C696']"
9,"[10, 'June 2010', 36, 'UH Moody Tower C695']"
10,"[11, 'June 2010', 33, 'UH Moody Tower C695']"
11,"[12, 'June 2010', 33, 'U of H-Sugarland C696']"
12,"[13, 'June 2010', 31, 'U of H-Sugarland C696']"
13,"[14, 'June 2010', 43, 'U of H-Sugarland C696']"
14,"[15, 'June 2010', 43, 'Seabrook Friendship Park C45']"
15,"[16, 'June 2010', 49, 'Seabrook Friendship Park C45']"
16,"[17, 'June 2010', 41, 'U of H-Sugarland C696']"
17,"[18, 'June 2010', 47, 'UH Moody Tower C695']"
18,"[19, 'June 2010', 58, 'U of H-Sugarland C696']"
19,"[20, 'June 2010', 58, 'U of H-Sugarland C696']"
20,"[21, 'June 2010', 80, 'U of H-Sugarland C696']"
21,"[22, 'June 2010', 80, 'U of H-Sugarland C696']"
22,"[23, 'June 2010', 60, 'UH Moody Tower C695']"
23,"[24, 'June 2010', 60, 'Houston Texas Avenue C411']"
24,"[25, 'June 2010', 62, 'UH Moody Tower C695']"
25,"[26, 'June 2010', 54, 'U of H-Sugarland C696']"
26,"[27, 'June 2010', 60, 'U of H-Sugarland C696']"
27,"[28, 'June 2010', 41, 'Danciger C618 ']"
28,"[29, 'June 2010', 44, 'Mustang Bayou C619 ']"
29,"[30, 'June 2010', 26, 'HRM-3 Haden Road C603/A114 ']"
30,NA
31,"[1, 'July 2010', 22, 'UH Moody Tower C695']"
32,"[2, 'July 2010', 20, 'Park Place C416']"
33,"[3, 'July 2010', 28, 'Northwest Harris Co. C26/A110/X154']"
34,"[4, 'July 2010', 48, 'Texas City 34th St. C620 ']"
35,"[5, 'July 2010', 51, 'Wallisville Road C617 ']"
36,"[6, 'July 2010', 60, 'Danciger C618 ']"
37,"[7, 'July 2010', 25, 'Park Place C416']"
38,"[8, 'July 2010', 23, 'Houston Texas Avenue C411']"
